Timestamps,Type1,Data1
03/09/2019,SDG-STD,1.097989294
04/09/2019,SDG-STD,1.100275898
05/09/2019,SDG-STD,1.100214016
06/09/2019,SDG-STD,1.099764048
07/09/2019,SDG-STD,1.097604668
08/09/2019,SDG-STD,1.09543917
09/09/2019,SDG-STD,1.094443611
10/09/2019,SDG-STD,1.092846156
11/09/2019,SDG-STD,1.093697341
12/09/2019,SDG-STD,1.094374134
13/09/2019,SDG-STD,1.092914968
14/09/2019,SDG-STD,1.092966465
15/09/2019,SDG-STD,1.093352482
16/09/2019,SDG-STD,1.095424959
17/09/2019,SDG-STD,1.098385743
18/09/2019,SDG-STD,1.100721494
19/09/2019,SDG-STD,1.102556852
20/09/2019,SDG-STD,1.102128512
21/09/2019,SDG-STD,1.102096199
22/09/2019,SDG-STD,1.100988919
23/09/2019,SDG-STD,1.100652751
24/09/2019,SDG-STD,1.100995828
25/09/2019,SDG-STD,1.101520042
26/09/2019,SDG-STD,1.100068429
27/09/2019,SDG-STD,1.099275569
28/09/2019,SDG-STD,1.100203644
29/09/2019,SDG-STD,1.099007575
30/09/2019,SDG-STD,1.097034682
01/10/2019,SDG-STD,1.095389463
02/10/2019,SDG-STD,1.096314024
03/10/2019,SDG-STD,1.097308115
04/10/2019,SDG-STD,1.09865109
05/10/2019,SDG-STD,1.096363387
06/10/2019,SDG-STD,1.094653461
07/10/2019,SDG-STD,1.093907896
08/10/2019,SDG-STD,1.095242831
09/10/2019,SDG-STD,1.095919401
10/10/2019,SDG-STD,1.096404677
11/10/2019,SDG-STD,1.094974696
12/10/2019,SDG-STD,1.094721535
13/10/2019,SDG-STD,1.092845747
14/10/2019,SDG-STD,1.092355769
15/10/2019,SDG-STD,1.092496387
16/10/2019,SDG-STD,1.094555416
17/10/2019,SDG-STD,1.09588895
18/10/2019,SDG-STD,1.095551171
19/10/2019,SDG-STD,1.095016398
20/10/2019,SDG-STD,1.094153365
21/10/2019,SDG-STD,1.093267572
22/10/2019,SDG-STD,1.093747178
23/10/2019,SDG-STD,1.094952402
24/10/2019,SDG-STD,1.094636754
25/10/2019,SDG-STD,1.093183543
26/10/2019,SDG-STD,1.092062667
27/10/2019,SDG-STD,1.090153129
28/10/2019,SDG-STD,1.089751016
29/10/2019,SDG-STD,1.090674741
30/10/2019,SDG-STD,1.090523288
31/10/2019,SDG-STD,1.09031697
01/11/2019,SDG-STD,1.088801301
02/11/2019,SDG-STD,1.08807633
03/11/2019,SDG-STD,1.087903843
04/11/2019,SDG-STD,1.085946561
05/11/2019,SDG-STD,1.084757738
06/11/2019,SDG-STD,1.083738306
07/11/2019,SDG-STD,1.083893183
08/11/2019,SDG-STD,1.086284363
09/11/2019,SDG-STD,1.087722516
10/11/2019,SDG-STD,1.088002555
11/11/2019,SDG-STD,1.088015955
12/11/2019,SDG-STD,1.088568577
13/11/2019,SDG-STD,1.089956352
14/11/2019,SDG-STD,1.09058906
15/11/2019,SDG-STD,1.090275533
16/11/2019,SDG-STD,1.090560772
17/11/2019,SDG-STD,1.089784564
18/11/2019,SDG-STD,1.08873866
19/11/2019,SDG-STD,1.090994932
20/11/2019,SDG-STD,1.093725685
21/11/2019,SDG-STD,1.096902707
22/11/2019,SDG-STD,1.097873479
23/11/2019,SDG-STD,1.099033849
24/11/2019,SDG-STD,1.098503028
25/11/2019,SDG-STD,1.098258907
26/11/2019,SDG-STD,1.09793212
27/11/2019,SDG-STD,1.098403718
28/11/2019,SDG-STD,1.099521911
